player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Gael Monfils,mc65,0.5730343365163731,0.7570744009417809,0.6422648521738215,0.48641134012227594,0.2618037888733408,0.45677223972992625,46,31.0,-37,370,34.0,0.03225806451612903,-1.088235294117647
Ryan Harrison,h940,0.6856030713397143,0.6801607089408956,0.6080483749738634,0.4475342610110381,0.2841686228915281,0.5712949761156371,47,25.0,31,368,48.0,0.04,0.6458333333333334
Borna Coric,cg80,0.5996614941311651,0.7187149363404831,0.6432048347543129,0.5345467574687413,0.297164836169198,0.5133024858201954,48,21.0,9,364,53.0,0.047619047619047616,0.16981132075471697
Aljaz Bedene,bh09,0.6278124999999999,0.6833965462184947,0.6067045454545454,0.48371858116044164,0.32544658095346457,0.5133035265388206,49,28.0,61,361,45.0,0.03571428571428571,1.3555555555555556
Kyle Edmund,e831,0.5997604310477584,0.6294409808202512,0.566201714250976,0.4655369385505209,0.24415136598185455,0.5341082053757369,50,22.0,-3,358,60.0,0.045454545454545456,-0.05
Denis Shapovalov,su55,0.6141392965292336,0.758695652173913,0.6330072210575355,0.4357142857142857,0.27321428571428574,0.5025575447570333,51,18.0,183,350,21.0,0.05555555555555555,8.714285714285714
Leonardo Mayer,md56,0.5981878842896602,0.7546250952573799,0.6647059462923037,0.5353398567349179,0.32401666526292683,0.44562965133560384,52,30.0,95,347,30.0,0.03333333333333333,3.1666666666666665
Jared Donaldson,dc58,0.5781449333879001,0.4721320346320346,0.4748592216622907,0.4578165960879209,0.2727514881986427,0.5116670133832606,54,21.0,46,345,57.0,0.047619047619047616,0.8070175438596491
Viktor Troicki,t840,0.5996837195637181,0.6119348164353695,0.562946006805373,0.4841411075786075,0.310883174222634,0.481279781206993,55,31.0,-18,343,51.0,0.03225806451612903,-0.35294117647058826
Denis Istomin,i165,0.5978669746719929,0.6706990821370784,0.6079776411593775,0.5083451638613063,0.30240258661061725,0.46913947302869563,56,31.0,24,342,45.0,0.03225806451612903,0.5333333333333333
Julien Benneteau,b747,0.6279171438738558,0.7038690476190477,0.5978645538972502,0.38726485873225003,0.3151196992874089,0.5054895120684595,57,35.0,73,341,42.0,0.02857142857142857,1.7380952380952381
